"team","team_region","round","fte_prob","seed","crowd_prob","fte_ep","crowd_ep","delta","evoc"
"Kentucky","East","title",0.04436281,"4",0.003,27.9485703,1.89,26.0585703,1.15603140309054
"Maryland","South","R8",0.14219176,"5",0.037,9.9534232,2.59,7.3634232,1.04701810443283
"Wisconsin","East","R16",0.27120281,"7",0.145,8.1360843,4.35,3.7860843,1.02679670105688
"Gonzaga","Midwest","R32",0.60181899,"11",0.433,6.0181899,4.33,1.6881899,1.0159847405462
"Purdue","Midwest","NCG",0.05805646,"5",0.002,17.9975026,0.62,17.3775026,1.0088762845968
"Indiana","East","R32",0.87683343,"5",0.764,8.7683343,7.64,1.1283343,0.989361234455648
"West Virginia","East","NCG",0.07450766,"3",0.032,23.0973746,9.92,13.1773746,0.981815346389436
"West Virginia","East","R4",0.16187002,"3",0.124,24.280503,18.6,5.680503,0.91950313422006
"Baylor","West","R8",0.13086959,"5",0.038,9.1608713,2.66,6.5008713,0.850766361673767
"Cincinnati","West","R16",0.18142641,"9",0.028,5.4427923,0.84,4.6027923,0.835068082964643
"Iowa","South","R32",0.72194021,"7",0.62,7.2194021,6.2,1.0194021,0.735947366148441
"Kentucky","East","R16",0.61058029,"4",0.573,18.3174087,17.19,1.1274087,0.688373530994525
"Wichita St.","South","R4",0.06464956,"11",0.002,9.697434,0.3,9.397434,0.60753997322904
"Seton Hall","Midwest","R16",0.1714058,"6",0.059,5.142174,1.77,3.372174,0.5780101822092
